Filename,Vague Score,Cosine Similarity
Resume_of_ID_229.pdf,5,0.0784
Resume_of_ID_23.pdf,2,0.0803
Resume_of_ID_230.pdf,2,0.1308
Resume_of_ID_231.pdf,7,0.111
Resume_of_ID_232.pdf,11,0.1478
Resume_of_ID_233.pdf,5,0.1453
Resume_of_ID_234.pdf,4,0.0797
Resume_of_ID_235.pdf,1,0.0767
Resume_of_ID_236.pdf,0,0.0831
Resume_of_ID_237.pdf,0,0.0194
Resume_of_ID_238.pdf,4,0.0854
Resume_of_ID_239.pdf,0,0.1299
Resume_of_ID_24.pdf,1,0.0696
Resume_of_ID_240.pdf,3,0.1297
Resume_of_ID_241.pdf,1,0.0444
Resume_of_ID_242.pdf,1,0.0686
Resume_of_ID_243.pdf,2,0.0639
Resume_of_ID_244.pdf,2,0.1083
Resume_of_ID_245.pdf,7,0.1115
Resume_of_ID_246.pdf,6,0.0922
Resume_of_ID_247.pdf,1,0.0964
Resume_of_ID_248.pdf,3,0.1051
Resume_of_ID_249.pdf,3,0.0869
Resume_of_ID_25.pdf,2,0.0854
Resume_of_ID_250.pdf,2,0.1109
Resume_of_ID_251.pdf,1,0.0534
Resume_of_ID_252.pdf,1,0.0839
Resume_of_ID_253.pdf,0,0.0787
Resume_of_ID_254.pdf,2,0.0956
Resume_of_ID_255.pdf,4,0.0816
Resume_of_ID_256.pdf,3,0.0609
Resume_of_ID_257.pdf,4,0.0698
Resume_of_ID_258.pdf,0,0.0614
Resume_of_ID_259.pdf,6,0.0668
Resume_of_ID_26.pdf,0,0.0729
Resume_of_ID_260.pdf,7,0.1602
Resume_of_ID_261.pdf,1,0.115
Resume_of_ID_262.pdf,9,0.091
Resume_of_ID_263.pdf,0,0.0542
Resume_of_ID_264.pdf,3,0.1362
Resume_of_ID_265.pdf,5,0.0715
Resume_of_ID_266.pdf,0,0.0765
Resume_of_ID_267.pdf,5,0.1159
Resume_of_ID_268.pdf,0,0.0656
Resume_of_ID_269.pdf,6,0.1366
Resume_of_ID_27.pdf,6,0.1214
Resume_of_ID_270.pdf,7,0.1659
Resume_of_ID_271.pdf,1,0.1019
Resume_of_ID_272.pdf,1,0.1897
Resume_of_ID_273.pdf,2,0.0812
Resume_of_ID_274.pdf,3,0.1794
Resume_of_ID_275.pdf,3,0.0876
Resume_of_ID_276.pdf,1,0.0585
Resume_of_ID_277.pdf,4,0.0745
Resume_of_ID_278.pdf,3,0.095
Resume_of_ID_279.pdf,2,0.0813
Resume_of_ID_28.pdf,4,0.1166
Resume_of_ID_280.pdf,2,0.0758
Resume_of_ID_281.pdf,5,0.1503
Resume_of_ID_282.pdf,2,0.0541
Resume_of_ID_283.pdf,4,0.0803
