resume_id,similarity_score,Vague_Score,reciprocal_score,normalized_vague_score,normalized_similarity_score,risk_score
113,0.4621,5,0,0.416666667,0.365459479,0.442270261
114,0.4238,1,0,0.083333333,0.3202784,0.3648608
115,0.2889,6,1,0.5,0.161141913,0.769429044
116,0.3194,3,0,0.25,0.197121623,0.476439189
117,0.3612,3,0,0.25,0.246431521,0.45178424
118,0.3162,2,1,0.166666667,0.193346703,0.653326649
119,0.3179,1,0,0.083333333,0.195352129,0.427323935
120,0.3918,1,0,0.083333333,0.282529197,0.383735401
121,0.4679,3,0,0.25,0.372301522,0.388849239
122,0.3021,8,0,0.666666667,0.17671346,0.61164327
123,0.2464,4,0,0.333333333,0.111006252,0.544496874
124,0.4001,0,0,0,0.292320396,0.353839802
125,0.4528,2,1,0.166666667,0.354488616,0.572755692
126,0.3426,4,0,0.333333333,0.224489796,0.487755102
127,0.492,5,0,0.416666667,0.400731391,0.424634305
128,0.302,3,1,0.25,0.176595494,0.686702253
129,0.6784,4,0,0.333333333,0.620620503,0.289689748
130,0.3749,1,0,0.083333333,0.262592898,0.393703551
131,0.438,1,0,0.083333333,0.33702961,0.356485195
132,1,3,0,0.25,1,0.075
133,0.3008,1,0,0.083333333,0.175179899,0.43741005
134,0.3928,1,0,0.083333333,0.283708859,0.38314557
135,0.5287,4,0,0.333333333,0.444025009,0.377987495
136,0.2988,4,0,0.333333333,0.172820573,0.513589713
137,0.2643,0,0,0,0.132122213,0.433938894
138,0.4857,2,1,0.166666667,0.393299516,0.553350242
139,0.2521,2,0,0.166666667,0.117730329,0.491134836
140,0.2899,1,0,0.083333333,0.162321576,0.443839212
141,1,7,0,0.583333333,1,0.175
142,0.2621,3,0,0.25,0.129526955,0.510236523
143,0.2573,2,0,0.166666667,0.123864575,0.488067713
144,0.4978,1,0,0.083333333,0.407573434,0.321213283
145,0.3855,5,0,0.416666667,0.275097322,0.487451339
146,0.3901,2,0,0.166666667,0.28052377,0.409738115
147,0.3959,2,0,0.166666667,0.287365813,0.406317094
148,0.3638,7,0,0.583333333,0.249498643,0.550250678
149,0.3487,11,1,0.916666667,0.231685738,0.859157131
150,0.3122,5,0,0.416666667,0.188628052,0.530685974
151,0.4655,4,0,0.333333333,0.369470331,0.415264834
